|contract_id|title|text|clean_text
0|2016_082054|Guarantees to Union Officers|A) DIRIGENTE SINDICAL  O dirigente sindical, no exercício de sua função, desejando manter contato com empresa de sua base territorial, terá garantido o atendimento pelo representante que a empresa designar.  O dirigente sindical poderá fazer-se acompanhar de assessor quando o assunto a ser exposto referir-se à segurança e medicina do trabalho.  B) SINDICALIZAÇÃO  Com o objetivo de incrementar a sindicalização dos empregados, a empresa colocará a disposição do sindicato signatário, 2 (duas) vezes por ano, local e meios para esse fim.  Os períodos serão convencionados de comum acordo pelas partes e a atividade será desenvolvida no recinto da empresa, fora do ambiente de produção, em locais previamente autorizados e, preferencialmente, nos períodos de descanso da jornada normal de trabalho.  C) PARTICIPAÇÃO EM CURSOS E/OU ENCONTROS SINDICAIS  I) Os dirigentes sindicais não afastados de suas funções na empresa poderão ausentar-se do serviço até 12 (doze) dias por ano, sem prejuízo nos salários nas férias, 13º salário, PPR/PLR, feriado e descanso remunerado, desde que pré- avisada a empresa, por escrito, pelo respectivo sindicato signatário, com antecedência mínima de 48 (quarenta e oito) horas;  I.1. Garantidas as condições acima, ficarão estendidas também ao dirigente da FEM-CUT/SP e ou da CNM, que poderão afastar-se do serviço até o limite de mais 12 (doze) dias por ano, mediante solicitação impressa da respectiva entidade.  II) Este benefício será estendido aos empregados em geral, até o limite de 09 (nove) dias por ano, desde que as ausências não sejam simultâneas, conforme abaixo:  1 – Contando a empresa com mais de 50 (cinqüenta) e até 500 (quinhentos) empregados, limitado a 1 (um) empregado por ano;  2 – Contanto a empresa com mais de 500 (quinhentos) e até 1.000 (mil) empregados, limitado a 3 (três) empregados por ano;  3 – Contando a empresa com mais de 1.000 (mil) empregados, limitado a 5 (cinco) empregados por ano.  |a dirigente sindical o dirigente sindical no exercício de sua função desejando manter contato com empresa de sua base territorial terá garantido o atendimento pelo representante que a empresa designar o dirigente sindical poderá fazer-se acompanhar de assessor quando o assunto a ser exposto referir-se à segurança e medicina do trabalho b sindicalização com o objetivo de incrementar a sindicalização dos empregados a empresa colocará a disposição do sindicato signatário 2 duas vezes por ano local e meios para esse fim os períodos serão convencionados de comum acordo pelas partes e a atividade será desenvolvida no recinto da empresa fora do ambiente de produção em locais previamente autorizados e preferencialmente nos períodos de descanso da jornada normal de trabalho c participação em cursos e/ou encontros sindicais i os dirigentes sindicais não afastados de suas funções na empresa poderão ausentar-se do serviço até 12 doze dias por ano sem prejuízo nos salários nas férias 13º salário ppr/plr feriado e descanso remunerado desde que pré- avisada a empresa por escrito pelo respectivo sindicato signatário com antecedência mínima de 48 quarenta e oito horas i1garantidas as condições acima ficarão estendidas também ao dirigente da fem-cut/sp e ou da cnm que poderão afastar-se do serviço até o limite de mais 12 doze dias por ano mediante solicitação impressa da respectiva entidade ii este benefício será estendido aos empregados em geral até o limite de 09 nove dias por ano desde que as ausências não sejam simultâneas conforme abaixo 1 contando a empresa com mais de 50 cinqüenta e até 500 quinhentos empregados limitado a 1 um empregado por ano 2 contanto a empresa com mais de 500 quinhentos e até 1000 mil empregados limitado a 3 três empregados por ano 3 contando a empresa com mais de 1000 mil empregados limitado a 5 cinco empregados por ano 
1|2016_082054|Access to Company Information|RELAÇÃO ANUAL DE INFORMAÇÕES  A) Relação Mensal de Empregados - Quando solicitado por escrito, a empresa fornecerá ao sindicato signatário no prazo de 5 (cinco) dias úteis informação sobre o número de empregados existentes, admitidos e demitidos no mês, no estabelecimento da base territorial. A informação abrangerá os empregados horistas e mensalistas, separadamente, com os respectivos salários médios.  B) Relação Anual de Informações – Contando a empresa com mais de 200 (duzentos) empregados fornecerá ao sindicato signatário, até 31 de agosto de 2017, as informações relativas à mão-de-obra operacional do estabelecimento fabril da base territorial, contidas na RAIS entregue do exercício de 2016.  As informações supra poderão ser fornecidas através de suporte magnético, mediante entendimento prévio com o sindicato signatário do presente instrumento.  |relação anual de informações a relação mensal de empregados quando solicitado por escrito a empresa fornecerá ao sindicato signatário no prazo de 5 cinco dias úteis informação sobre o número de empregados existentes admitidos e demitidos no mês no estabelecimento da base territoriala informação abrangerá os empregados horistas e mensalistas separadamente com os respectivos salários médios b relação anual de informações contando a empresa com mais de 200 duzentos empregados fornecerá ao sindicato signatário até 31 de agosto de 2017 as informações relativas à mão-de-obra operacional do estabelecimento fabril da base territorial contidas na rais entregue do exercício de 2016 as informações supra poderão ser fornecidas através de suporte magnético mediante entendimento prévio com o sindicato signatário do presente instrumento 
2|2016_082054|Union Contributions|CONTRIBUIÇÕES ASSOCIATIVAS  A) ATRASO NO RECOLHIMENTO Na hipótese de a empresa deixar de recolher ao sindicato, dentro do prazo de 10 (dez) dias após o pagamento, as contribuições associativas mensais, incorrerá em multa no valor correspondente a 5% (cinco por cento) do montante não recolhido, por mês de atraso, revertida em favor da entidade sindical.  B) RECIBOS  A empresa deverá efetuar a entrega dos recibos de mensalidades, já descontadas dos associados do sindicato juntamente com o pagamento geral dos empregados, ou no prazo máximo de 10 (dez) dias a contar da data da entrega protocolada dos mesmos pelo sindicato.  |contribuições associativas a atraso no recolhimento na hipótese de a empresa deixar de recolher ao sindicato dentro do prazo de 10 dez dias após o pagamento as contribuições associativas mensais incorrerá em multa no valor correspondente a 5% cinco por cento do montante não recolhido por mês de atraso revertida em favor da entidade sindical b recibos a empresa deverá efetuar a entrega dos recibos de mensalidades já descontadas dos associados do sindicato juntamente com o pagamento geral dos empregados ou no prazo máximo de 10 dez dias a contar da data da entrega protocolada dos mesmos pelo sindicato 
3|2016_082054|Union Contributions|TAXA NEGOCIAL/ASSISTENCIAL OU CONFEDERATIVA  A) Em cumprimento a deliberação da respectiva Assembleia Geral do sindicato signatário, e sob a inteira responsabilidade do mesmo, a empresa descontará dos salários já reajustados de todos os empregados abrangidos por este Acordo Coletivo de Trabalho, a contribuição negocial/assistencial ou confederativa, de que trata o artigo 8º, inciso IV, da Constituição Federal, conforme condições já comunicadas, na proporção de 4% (quatro vírgula por cento), incidentes sobre o salário nominal do mês de outubro de 2016.  B) A empresa repassará os valores referentes a contribuição negocial/assistencial e ou confederativa até o quinto dia após o pertinente desconto da folha de pagamento.  C) O não repasse da mencionada contribuição no prazo estabelecido, acarretará à empresa a obrigação da atualização monetária e multa de 5% (cinco por cento) sobre o montante não repassado, além de juros de mora de 1% (um por cento) ao mês.  D) A responsabilidade pela instituição, percentuais de cobrança e abrangência do desconto é inteiramente do sindicato signatário, ficando isenta a empresa de quaisquer ônus ou conseqüências perante seus empregados, sendo garantido aos não associados, o direito de oposição aos descontos, desde que feito de próprio punho, exercido de única vez, no prazo de 10 dias a contar a assinatura do presente Acordo.   |taxa negocial/assistencial ou confederativa a em cumprimento a deliberação da respectiva assembleia geral do sindicato signatário e sob a inteira responsabilidade do mesmo a empresa descontará dos salários já reajustados de todos os empregados abrangidos por este acordo coletivo de trabalho a contribuição negocial/assistencial ou confederativa de que trata o artigo 8º inciso iv da constituição federal conforme condições já comunicadas na proporção de 4% quatro vírgula por cento incidentes sobre o salário nominal do mês de outubro de 2016 b a empresa repassará os valores referentes a contribuição negocial/assistencial e ou confederativa até o quinto dia após o pertinente desconto da folha de pagamento c o não repasse da mencionada contribuição no prazo estabelecido acarretará à empresa a obrigação da atualização monetária e multa de 5% cinco por cento sobre o montante não repassado além de juros de mora de 1% um por cento ao mês d a responsabilidade pela instituição percentuais de cobrança e abrangência do desconto é inteiramente do sindicato signatário ficando isenta a empresa de quaisquer ônus ou conseqüências perante seus empregados sendo garantido aos não associados o direito de oposição aos descontos desde que feito de próprio punho exercido de única vez no prazo de 10 dias a contar a assinatura do presente acordo 
4|2016_082054|Other Provisions on the Relationship between Union and Company|"COMUNICAÇÃO DE ACIDENTE DO TRABALHO  A empresa enviará ao respectivo sindicato signatário, nos meses de abril, julho, outubro e janeiro, cópia do Anexo 1, completo, previsto no item 5.22, letra ""E"" da NR-05, para fins estatísticos. No caso de acidente com mutilação ou fatal, ocorrido nas dependências da empresa, o respectivo sindicato deverá ser comunicado no prazo de 48 (quarenta e oito) horas, com descrição sumária do acidente.  Na ocorrência de acidente de trajeto com mutilação ou fatal, a comunicação ao sindicato deverá ser feita no mesmo prazo, a partir da data em que a empresa tomou conhecimento do fato.  "|comunicação de acidente do trabalho a empresa enviará ao respectivo sindicato signatário nos meses de abril julho outubro e janeiro cópia do anexo 1 completo previsto no item 522 letra e da nr-05 para fins estatísticosno caso de acidente com mutilação ou fatal ocorrido nas dependências da empresa o respectivo sindicato deverá ser comunicado no prazo de 48 quarenta e oito horas com descrição sumária do acidente na ocorrência de acidente de trajeto com mutilação ou fatal a comunicação ao sindicato deverá ser feita no mesmo prazo a partir da data em que a empresa tomou conhecimento do fato 
5|2016_082054|Other Provisions on the Relationship between Union and Company|- QUADROS DE AVISOS  Contando a empresa com mais de 50 (cinquenta) empregados, colocará a disposição do sindicato signatário, quadros de avisos para afixação de comunicados oficiais de interesse da categoria, que serão encaminhados ao setor competente da empresa, para os devidos fins, incumbindo-se este de sua afixação dentro das 04 (quatro) horas de trabalho posteriores ao recebimento, pelo prazo sugerido pelo sindicato signatário.  |- quadros de avisos contando a empresa com mais de 50 cinquenta empregados colocará a disposição do sindicato signatário quadros de avisos para afixação de comunicados oficiais de interesse da categoria que serão encaminhados ao setor competente da empresa para os devidos fins incumbindo-se este de sua afixação dentro das 04 quatro horas de trabalho posteriores ao recebimento pelo prazo sugerido pelo sindicato signatário 
6|2012_002993|Union Access to Workplace|O Empregador permitirá que o Sindicato da Categoria Profissional promova Campanha de Sindicalização a seus empregados, no estabelecimento de trabalho e em data previamente estabelecida por consenso entre as partes e no horário de expediente. |o empregador permitirá que o sindicato da categoria profissional promova campanha de sindicalização a seus empregados no estabelecimento de trabalho e em data previamente estabelecida por consenso entre as partes e no horário de expediente
7|2012_002993|Union Contributions|A Mensalidade Sindical devida pelo Empregado, Sócio do Sindicato, será descontada em folha de pagamento e o recolhimento deverá ser efetuado em Agência Bancária por impresso próprio que será fornecido ao Empregador, pela Entidade Profissional, até o quinto dia útil do mês subseqüente. |a mensalidade sindical devida pelo empregado sócio do sindicato será descontada em folha de pagamento e o recolhimento deverá ser efetuado em agência bancária por impresso próprio que será fornecido ao empregador pela entidade profissional até o quinto dia útil do mês subseqüente
8|2012_002993|Union Contributions|O Empregador descontará da remuneração do empregado, sindicalizado ou não, a Contribuição assistencial, de acordo com a Assembléia Geral da Categoria, da seguinte forma:  Para ser aplicada a partir da divulgação deste acordo.  A Contribuição assistencial será dividida em (11) onze parcelas iguais, de (2%) dois por cento, incidindo respectivamente sobre os salários de Janeiro, Fevereiro, Abril, Maio, Junho, Julho, Agosto, Setembro, Outubro, Novembro e Dezembro de 2011, devendo ser recolhida até o quinto dia útil do mês subseqüente ao desconto.  O recolhimento deverá ser efetuado em Agência Bancária por impresso próprio que será fornecido ao empregador pela Entidade Profissional.  O recolhimento da Contribuição assistencial efetuado pelo Empregador fora do prazo será acrescido de multa de (2%) Dois por cento nos (30) trinta primeiros dias, mais (1%) um por cento por mês subseqüente de atraso além de juros de mora de (1%) um por cento ao mês.|o empregador descontará da remuneração do empregado sindicalizado ou não a contribuição assistencial de acordo com a assembléia geral da categoria da seguinte forma para ser aplicada a partir da divulgação deste acordo a contribuição assistencial será dividida em 11 onze parcelas iguais de 2% dois por cento incidindo respectivamente sobre os salários de janeiro fevereiro abril maio junho julho agosto setembro outubro novembro e dezembro de 2011 devendo ser recolhida até o quinto dia útil do mês subseqüente ao desconto o recolhimento deverá ser efetuado em agência bancária por impresso próprio que será fornecido ao empregador pela entidade profissional o recolhimento da contribuição assistencial efetuado pelo empregador fora do prazo será acrescido de multa de 2% dois por cento nos 30 trinta primeiros dias mais 1% um por cento por mês subseqüente de atraso além de juros de mora de 1% um por cento ao mês
9|2012_002993|Union Contributions|O empregador se obriga a descontar e repassar ao Sindicato dos Trabalhadores a Contribuição Assistencial proporcional ao período trabalhado no exercício do ano em curso referente ao empregado Demitido por ocasião da Homologação de Demissão, caso as mesmas não tenham sido recolhidas anteriormente, com as multa estipulada pelo atraso. |o empregador se obriga a descontar e repassar ao sindicato dos trabalhadores a contribuição assistencial proporcional ao período trabalhado no exercício do ano em curso referente ao empregado demitido por ocasião da homologação de demissão caso as mesmas não tenham sido recolhidas anteriormente com as multa estipulada pelo atraso
